OMIM_ID	DO_ID
OMIM:132000	DOID:4959
OMIM:132400	DOID:12721
OMIM:132450	DOID:11830
OMIM:132600	DOID:5374
OMIM:132700	DOID:3165
OMIM:132800	DOID:305
OMIM:132900	DOID:14004
OMIM:133020	DOID:9240
OMIM:133100	DOID:10780
OMIM:133190	DOID:37
OMIM:133200	DOID:0050467
OMIM:133239	DOID:3748
OMIM:133540	DOID:2962
OMIM:133700	DOID:206
OMIM:133701	DOID:206
OMIM:133780	DOID:0050535
OMIM:134610	DOID:2987
OMIM:135100	DOID:13374
OMIM:135150	DOID:0050676
OMIM:135290	DOID:0050424
OMIM:135300	DOID:3086
OMIM:135700	DOID:10235
OMIM:135750	DOID:17
OMIM:136000	DOID:37
OMIM:136120	DOID:1391
OMIM:136140	DOID:1657
OMIM:136630	DOID:1059
OMIM:136680	DOID:0050438
OMIM:136760	DOID:17
OMIM:136800	DOID:11555
OMIM:136880	DOID:11105
OMIM:136900	DOID:10871
OMIM:137200	DOID:0050526
OMIM:137215	DOID:10534
OMIM:137245	DOID:10540
OMIM:137440	DOID:4249
OMIM:137550	DOID:3165
OMIM:137580	DOID:11119
OMIM:137600	DOID:0050786
OMIM:137750	DOID:1067
OMIM:137760	DOID:1070
OMIM:137800	DOID:3070
OMIM:137920	DOID:0050524
OMIM:138000	DOID:2431
OMIM:138500	DOID:9252
OMIM:138800	DOID:0050489
OMIM:139090	DOID:2218
OMIM:139210	DOID:11383
OMIM:139300	DOID:11603
OMIM:139393	DOID:12842
OMIM:140000	DOID:17
OMIM:140300	DOID:7188
OMIM:140350	DOID:9275
OMIM:140600	DOID:8398
OMIM:140700	DOID:589
OMIM:141500	DOID:0060178
OMIM:141749	DOID:12241
OMIM:142330	DOID:3172
OMIM:142623	DOID:10487
OMIM:142680	DOID:37
OMIM:142690	DOID:2280
OMIM:142900	DOID:1682
OMIM:142945	DOID:4621
OMIM:142946	DOID:4621
OMIM:143095	DOID:0050813
OMIM:143100	DOID:12858
OMIM:143200	DOID:8466
OMIM:143465	DOID:1094
OMIM:143500	DOID:2739
OMIM:143880	DOID:12678
OMIM:143890	DOID:13810
OMIM:144010	DOID:13810
OMIM:144200	DOID:0050428
OMIM:144250	DOID:13809
OMIM:144650	DOID:1171
OMIM:144700	DOID:0050387
OMIM:144750	DOID:4257
OMIM:145000	DOID:13543
OMIM:145001	DOID:13543
OMIM:145250	DOID:3156
OMIM:145410	DOID:0050780
OMIM:145500	DOID:10825
OMIM:145600	DOID:8545
OMIM:145650	DOID:7998
OMIM:145680	DOID:2855
OMIM:145750	DOID:0050527
OMIM:145900	DOID:0050540
OMIM:145980	DOID:12678
OMIM:145981	DOID:12678
OMIM:146000	DOID:28
OMIM:146110	DOID:1924
OMIM:146200	DOID:11199
OMIM:146255	DOID:10003
OMIM:146300	DOID:14213
OMIM:146500	DOID:4752
OMIM:146510	DOID:9248
OMIM:146520	DOID:4535
OMIM:146550	DOID:4535
OMIM:146590	DOID:8741
OMIM:146700	DOID:1702
OMIM:146800	DOID:37
OMIM:147050	DOID:1205
OMIM:147060	DOID:3261
OMIM:147250	DOID:0050591
OMIM:147480	DOID:1852
OMIM:147750	DOID:10488
OMIM:147891	DOID:0080001
OMIM:147920	DOID:74
OMIM:147950	DOID:3614
OMIM:148000	DOID:8632
OMIM:148050	DOID:14780
OMIM:148190	DOID:4677
OMIM:148210	DOID:4677
OMIM:148300	DOID:10126
OMIM:148350	DOID:10003
OMIM:148500	DOID:5041
OMIM:148600	DOID:3390
OMIM:148700	DOID:3390
OMIM:148820	DOID:9258
OMIM:149200	DOID:0050658
OMIM:149400	DOID:423
OMIM:149730	DOID:0050331
OMIM:150250	DOID:14764
OMIM:150400	DOID:0050591
OMIM:150600	DOID:14415
OMIM:150699	DOID:13223
OMIM:150800	DOID:3165
OMIM:151050	DOID:1059
OMIM:151100	DOID:14291
OMIM:151210	DOID:13481
OMIM:151623	DOID:3012
OMIM:151660	DOID:0050440
OMIM:152700	DOID:9074
OMIM:152950	DOID:0060349
OMIM:153100	DOID:0050580
OMIM:153400	DOID:4977
OMIM:153480	DOID:0050657
OMIM:153550	DOID:2361
OMIM:153600	DOID:0050747
OMIM:153670	DOID:2217
OMIM:153700	DOID:0050661
OMIM:153800	DOID:10871
OMIM:154020	DOID:447
OMIM:154400	DOID:5768
OMIM:154500	DOID:2908
OMIM:154700	DOID:14323
OMIM:154780	DOID:10003
OMIM:154800	DOID:12309
OMIM:155240	DOID:0050547
OMIM:155255	DOID:0050902
OMIM:155310	DOID:3878
OMIM:155600	DOID:10041
OMIM:155601	DOID:10041
OMIM:155755	DOID:3069
OMIM:155950	DOID:4253
OMIM:156200	DOID:0060307
OMIM:156240	DOID:1790
OMIM:156250	DOID:184
OMIM:156400	DOID:12721
OMIM:156500	DOID:0080021
OMIM:156530	DOID:12721
OMIM:156550	DOID:674
