Ensembl_Gene_ID	Disease_ID	In_PhenoRank_Benchmarking
ENSG00000013293	OMIM:615725	FALSE
ENSG00000013375	OMIM:615816	FALSE
ENSG00000013503	OMIM:614381	FALSE
ENSG00000013573	OMIM:613398	FALSE
ENSG00000013619	OMIM:300758	FALSE
ENSG00000014216	OMIM:616907	FALSE
ENSG00000014919	OMIM:256000	TRUE
ENSG00000014919	OMIM:615119	FALSE
ENSG00000015133	OMIM:236600	TRUE
ENSG00000015133	OMIM:616053	FALSE
ENSG00000015171	OMIM:616083	FALSE
ENSG00000015285	OMIM:300299	TRUE
ENSG00000015285	OMIM:301000	TRUE
ENSG00000015285	OMIM:313900	TRUE
ENSG00000015479	OMIM:606070	TRUE
ENSG00000015532	OMIM:264800	TRUE
ENSG00000015532	OMIM:605822	TRUE
ENSG00000017260	OMIM:169600	TRUE
ENSG00000017427	OMIM:608747	TRUE
ENSG00000018236	OMIM:612540	FALSE
ENSG00000018280	OMIM:607948	FALSE
ENSG00000018280	OMIM:610446	FALSE
ENSG00000018510	OMIM:600121	TRUE
ENSG00000018625	OMIM:104290	TRUE
ENSG00000018625	OMIM:602481	TRUE
ENSG00000019186	OMIM:143880	TRUE
ENSG00000019549	OMIM:172800	TRUE
ENSG00000019549	OMIM:608890	TRUE
ENSG00000019991	OMIM:608265	TRUE
ENSG00000020922	OMIM:604391	TRUE
ENSG00000020922	OMIM:614327	FALSE
ENSG00000021488	OMIM:220100	TRUE
ENSG00000021574	OMIM:182601	TRUE
ENSG00000021826	OMIM:237300	TRUE
ENSG00000021826	OMIM:615371	FALSE
ENSG00000021852	OMIM:613789	FALSE
ENSG00000022267	OMIM:300695	FALSE
ENSG00000022267	OMIM:300696	FALSE
ENSG00000022267	OMIM:300717	FALSE
ENSG00000022267	OMIM:300718	FALSE
ENSG00000022355	OMIM:611136	FALSE
ENSG00000022355	OMIM:615744	FALSE
ENSG00000023228	OMIM:252010	FALSE
ENSG00000023287	OMIM:114480	TRUE
ENSG00000023839	OMIM:237500	TRUE
ENSG00000023909	OMIM:608446	TRUE
ENSG00000025708	OMIM:603041	TRUE
ENSG00000025796	OMIM:617004	FALSE
ENSG00000026025	OMIM:116300	TRUE
ENSG00000026103	OMIM:601859	TRUE
ENSG00000026297	OMIM:612951	FALSE
ENSG00000026508	OMIM:609027	FALSE
ENSG00000027075	OMIM:601367	TRUE
ENSG00000027697	OMIM:209950	TRUE
ENSG00000027697	OMIM:600263	TRUE
ENSG00000027697	OMIM:607948	FALSE
ENSG00000027697	OMIM:610424	FALSE
ENSG00000027697	OMIM:615978	FALSE
ENSG00000027847	OMIM:130070	TRUE
ENSG00000029534	OMIM:182900	TRUE
ENSG00000029993	OMIM:300915	FALSE
ENSG00000030304	OMIM:208150	TRUE
ENSG00000030304	OMIM:616325	FALSE
ENSG00000030582	OMIM:607485	TRUE
ENSG00000030582	OMIM:614706	FALSE
ENSG00000031081	OMIM:100300	TRUE
ENSG00000031544	OMIM:268100	FALSE
ENSG00000031544	OMIM:611131	FALSE
ENSG00000032444	OMIM:215470	TRUE
ENSG00000032444	OMIM:245800	TRUE
ENSG00000032444	OMIM:275400	TRUE
ENSG00000032444	OMIM:612020	FALSE
ENSG00000033011	OMIM:608540	TRUE
ENSG00000034693	OMIM:614882	FALSE
ENSG00000034971	OMIM:137750	TRUE
ENSG00000034971	OMIM:231300	TRUE
ENSG00000035403	OMIM:611407	FALSE
ENSG00000035403	OMIM:613255	FALSE
ENSG00000036257	OMIM:614496	FALSE
ENSG00000036473	OMIM:311250	TRUE
ENSG00000036828	OMIM:145980	FALSE
ENSG00000036828	OMIM:239200	FALSE
ENSG00000036828	OMIM:601198	FALSE
ENSG00000036828	OMIM:612899	FALSE
ENSG00000037280	OMIM:153100	TRUE
ENSG00000037280	OMIM:602089	TRUE
ENSG00000037474	OMIM:611091	FALSE
ENSG00000038002	OMIM:208400	TRUE
ENSG00000038295	OMIM:613087	FALSE
ENSG00000038382	OMIM:617061	FALSE
ENSG00000038427	OMIM:143200	TRUE
ENSG00000038945	OMIM:176807	TRUE
ENSG00000038945	OMIM:614266	FALSE
ENSG00000039068	OMIM:114480	TRUE
ENSG00000039068	OMIM:137215	TRUE
ENSG00000039068	OMIM:167000	FALSE
ENSG00000039068	OMIM:176807	TRUE
ENSG00000039068	OMIM:608089	FALSE
ENSG00000039139	OMIM:244400	TRUE
ENSG00000039139	OMIM:608644	TRUE
ENSG00000039537	OMIM:612446	FALSE
ENSG00000039650	OMIM:613402	FALSE
ENSG00000039650	OMIM:616267	FALSE
ENSG00000040531	OMIM:219750	FALSE
ENSG00000040531	OMIM:219800	FALSE
ENSG00000040531	OMIM:219900	FALSE
ENSG00000040608	OMIM:181500	TRUE
ENSG00000041982	OMIM:615629	FALSE
ENSG00000042088	OMIM:607250	TRUE
ENSG00000042317	OMIM:604232	TRUE
ENSG00000042429	OMIM:613668	FALSE
ENSG00000042753	OMIM:600740	TRUE
ENSG00000042781	OMIM:268000	TRUE
ENSG00000042781	OMIM:276901	TRUE
ENSG00000042781	OMIM:613809	FALSE
ENSG00000042832	OMIM:274700	FALSE
ENSG00000042832	OMIM:608175	TRUE
ENSG00000043355	OMIM:609637	FALSE
ENSG00000043591	OMIM:607276	FALSE
ENSG00000044090	OMIM:273750	TRUE
ENSG00000044115	OMIM:608970	FALSE
ENSG00000044446	OMIM:306000	FALSE
ENSG00000046604	OMIM:610193	FALSE
ENSG00000046604	OMIM:612877	FALSE
ENSG00000046651	OMIM:300209	TRUE
ENSG00000046651	OMIM:300424	TRUE
ENSG00000046651	OMIM:300804	FALSE
ENSG00000046651	OMIM:311200	TRUE
ENSG00000047457	OMIM:604290	TRUE
ENSG00000047578	OMIM:616784	FALSE
